,id,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
8299,8299,2mCJpbOH8h7vwu2oJYFCjh,Eres Tú,Mac Gregor,39,21fMKfrrSkfaUvvWu5wrJR,Eres Tú,9/20/2019,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.609,0.0926,9,-16.46,0,0.102,0.573,0.0,0.104,0.668,124.395,159840
6956,6956,7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,LMFAO,71,0D49RvtlLCKyxeDKDnBU2R,Sorry For Party Rocking,1/1/2011,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,262147
4204,4204,0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,98,52u4anZbHd6UInnmHRFzba,Please Excuse Me For Being Antisocial,12/6/2019,GTA San Andreas Radio Los Santos,6m0BqpJfSP2m5xCOFjDRHw,rap,gangster rap,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653
16088,16088,5PM96PMKMfD1lLX2lryUsG,Oh Sheila,Ready For The World,51,7J4vN1d089or6LJDdIQxdg,Ready For The World,1/1/1985,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,0.798,0.577,0,-10.347,1,0.0777,0.0234,0.00112,0.0728,0.835,128.82,240093
843,843,6mwA6YiKDjAUG8kWvRRUPh,Back At One,Brian McKnight,71,0ZnKlkQrZb1xDbT8bmPSjo,Back At One,9/21/1999,The Sound of Urban Contemporary,07zF8MjQPsiYUXiAIGZ5TA,r&b,urban contemporary,0.661,0.346,11,-9.115,1,0.03,0.452,0.0,0.131,0.256,129.752,263667
26019,26019,4oJlQHvcgGMcnPdEsDVqNq,Catch - Radio Edit,Will Sparks,34,2v161wEhC6xGOo0e51H9WK,Catch (Radio Edit),2/14/2014,Fitness Workout Electro | House | Dance | Progressive House,6KnQDwp0syvhfHOR4lWP7x,edm,electro house,0.532,0.659,1,-4.198,0,0.437,0.00505,0.287,0.307,0.586,127.339,176240
3765,3765,1DoS5ql0TW3ejjJGHbsAmz,Tadow,Masego,16,66q4QLWTKxEZnADbRRTnSd,Tadow,10/6/2017,Neo-Soul Guitar,0aS9YCNTNrDiMNa9tT49RG,r&b,neo soul,0.719,0.487,9,-6.21,0,0.0604,0.711,8.36e-05,0.0958,0.345,121.729,301639
11378,11378,34ALhvfAPXBgjLZLaHSiLI,GOD'S WITH ME,MIKE,0,55iBCDpBDtBBDgxcSMhp2Z,BY THE WATER,9/6/2017,Alternative Hip Hop,37i9dQZF1DWTggY0yqBxES,rap,hip hop,0.725,0.69,9,-7.449,0,0.269,0.323,0.0,0.157,0.431,96.045,137560
11258,11258,2o1F0b0NCGabe7BbLNqe5J,No Beef,Afrojack,39,0eueEwLvkysEA9P1zqWV7G,No Beef,2011,2011-2014 House,53Ga3Xt9fumdJfhNNSBvzU,edm,progressive electro house,0.74,0.828,4,-5.17,0,0.0405,0.0194,0.316,0.0585,0.259,127.969,362000
6597,6597,5741GhL8qxmyPbHakSOGRF,Dance with You,Hoofa,7,73q40NxC6Sf8BhAq8oszwK,Dance with You,11/27/2019,Modern Indie Rock // Alternative Rock / Garage Rock / Pop Punk / Grunge / Britpop / Pop Rock,1VnvyBDqoV5TCZAnXYferL,rock,permanent wave,0.416,0.801,0,-4.453,1,0.0487,0.352,0.0,0.153,0.702,167.942,176951
